,Tiempos
0,500.0
1,510.0
2,1010.0
3,1020.0
4,1520.0
5,1530.0
6,2030.0
7,2040.0
8,2540.0
9,2550.0
10,3050.0
11,3060.0
12,3560.0
13,3570.0
14,4070.0
15,4080.0
16,4580.0
17,4590.0
18,5090.0
19,5100.0
20,5600.0
21,5610.0
22,6110.0
23,6120.0
24,6620.0
25,6630.0
26,7130.0
27,7140.0
28,7640.0
29,7650.0
30,8150.0
31,8160.0
32,8660.0
33,8670.0
34,9170.0
35,9180.0
36,9680.0
37,9690.0
38,10190.0
39,10200.0
40,10700.0
41,10710.0
42,11210.0
43,11220.0
44,11720.0
45,11730.0
46,12230.0
47,12240.0
48,12740.0
49,12750.0
50,13250.0
51,13260.0
52,13760.0
53,13770.0
54,14270.0
55,14280.0
56,14780.0
57,14790.0
58,15290.0
59,15300.0
60,15799.950465829728
61,16346.678124988302
62,16356.678124988302
63,16772.230308412316
64,16782.230308412316
65,17276.381957821308
66,17286.381957821308
67,17803.850206448704
68,17813.850206448704
69,18339.39551789019
70,18349.39551789019
71,18813.816489289424
72,18823.816489289424
73,19310.817344199437
74,19320.817344199437
75,19888.0232298375
76,19898.0232298375
77,20307.759461763962
78,20317.759461763962
79,20948.75861277793
80,20958.75861277793
81,21361.02613771343
82,21371.02613771343
83,21861.783703638735
84,21871.783703638735
85,22319.81614439157
86,22329.81614439157
87,22811.49393709437
88,22821.49393709437
89,23367.862609917982
90,23377.862609917982
91,23750.39195816397
92,23760.39195816397
93,24460.39195816397
94,24470.39195816397
95,24824.136067575673
96,24834.136067575673
97,25395.279785018203
98,25405.279785018203
99,25990.722629821328
100,26000.722629821328
101,26432.865648589323
102,26442.865648589323
103,27011.12136585424
104,27021.12136585424
105,27563.977238034768
106,27573.977238034768
107,28008.460798548833
108,28018.460798548833
109,28505.709241655484
110,28515.709241655484
111,29105.709002133473
112,29115.709002133473
113,29559.446045770972
114,29569.446045770972
115,30031.39049384202
116,30041.39049384202
117,30360.073640135524
118,30370.073640135524
119,30869.72444177491
120,31351.361390692422
121,31361.361390692422
122,31900.691055586365
123,31910.691055586365
124,32427.722103201726
125,32437.72210320173
126,32859.810233094846
127,32869.810233094846
128,33500.9165435035
129,33510.9165435035
130,33989.64029144963
131,33999.64029144963
132,34444.668855940356
133,34454.668855940356
134,35021.62405679484
135,35031.62405679484
136,35536.015208766185
137,35546.015208766185
138,35940.94878139848
139,35950.94878139848
140,36443.31628704217
141,36453.31628704217
142,37047.127392715054
143,37057.127392715054
144,37577.11320826454
145,37587.11320826454
146,37979.065205576306
147,37989.065205576306
148,38436.17100441119
149,38446.17100441119
150,39078.87509277845
151,39088.87509277845
152,39479.239235157605
153,39489.239235157605
154,40037.92464369796
155,40047.92464369796
156,40676.1201239572
157,40686.1201239572
158,41139.56298186122
159,41149.56298186122
160,41529.07867686477
161,41539.07867686477
162,42015.69957895127
163,42025.69957895127
164,42725.69957895127
165,42735.69957895127
166,43208.42568465237
167,43218.42568465237
168,43600.29251288173
169,43610.29251288173
170,44237.398150536974
171,44247.398150536974
172,44763.41132374229
173,44773.41132374229
174,45404.44202506928
175,45414.44202506928
